Probabilistic Resource Modeling course 2018: Boundary Data 2-D
4
HoleID
X
Y
Domain Indicator
1 85.36000 1575.28000 0
2 1105.62000 1225.45000 0
3 405.63000 2135.75000 1
4 195.84000 2185.05000 0
5 235.89000 1865.70000 1
6 325.03000 2055.81000 1
7 675.54000 2195.25000 1
8 355.73000 1995.74000 1
9 295.84000 1895.16000 1
10 885.42000 1345.26000 1
11 75.12000 2125.97000 0
12 475.86000 1715.50000 1
13 105.43000 1385.84000 0
14 505.52000 2255.95000 1
15 375.80000 1895.21000 1
16 355.80000 2225.49000 1
17 515.12000 2275.07000 1
18 135.13000 1385.93000 1
19 1065.75000 1615.22000 1
20 425.36000 2095.42000 1
21 385.26000 1915.24000 1
22 525.28000 1215.69000 1
23 285.69000 2125.87000 1
24 1015.07000 1365.90000 1
25 165.97000 1705.64000 1
26 615.28000 2095.55000 1
27 675.93000 1545.29000 1
28 825.43000 2105.10000 1
29 725.02000 1655.04000 1
30 175.01000 1345.28000 1
31 1085.36000 1545.23000 1
32 435.42000 1915.40000 1
33 165.78000 1635.18000 1
34 165.83000 1775.05000 0
35 935.73000 2175.42000 1
36 245.40000 2005.29000 0
37 1115.57000 1415.65000 0
38 1065.14000 1505.38000 1
39 685.64000 1885.28000 1
40 1075.00000 2065.43000 0
41 115.32000 1615.54000 1
42 435.68000 1795.08000 1
43 1105.18000 1495.40000 0
44 765.05000 1295.10000 1
45 1165.43000 1515.46000 0
46 105.48000 1815.13000 0
47 145.33000 1315.27000 0
48 165.03000 1665.22000 1
49 645.18000 1625.36000 1
50 85.56000 1945.58000 0
51 875.42000 1865.97000 1
52 1165.98000 1455.66000 0
53 45.22000 1435.09000 0
54 1085.45000 2165.43000 0
55 775.76000 1795.16000 1
56 1025.49000 1695.96000 1
57 575.01000 1895.06000 1
58 455.52000 1775.91000 1
59 325.45000 2255.99000 1
60 255.45000 1585.91000 1
61 25.87000 2215.25000 0
62 735.93000 1375.07000 1
63 885.33000 1905.59000 1
64 355.51000 2235.67000 1
65 765.32000 2075.15000 1
66 1135.32000 1685.84000 0
67 765.83000 1755.65000 1
