data
12
x
y
z
Var1
Var2
Var3
PC1
PC2
PC3
SR1
SR2
SR3
6.50000 7.50000 7.50000 0.01253 -0.82389 0.11304 -0.40736 0.40316 -0.60185 0.07919 -1.35307 0.78710
2.50000 8.50000 7.50000 0.65884 -0.24043 0.51007 0.52008 0.55229 -0.41915 0.65602 -0.82740 0.78537
7.50000 6.50000 9.50000 -1.25357 -1.05812 -1.10306 -1.96011 -0.25057 -0.05560 -1.00289 -0.66128 -0.61231
1.50000 7.50000 3.50000 -2.17009 -0.93459 -0.85962 -2.22250 -1.12998 -0.32451 -2.24651 -0.53106 0.05171
4.50000 5.50000 2.50000 0.26631 0.39886 0.45376 0.65315 -0.08565 -0.04330 0.10832 0.24976 0.37038
5.50000 2.50000 4.50000 1.43953 1.51410 0.42615 1.91035 0.32783 0.88915 1.42958 1.83810 -0.93340
0.50000 6.50000 1.50000 -1.81191 -0.85962 -1.25357 -2.23105 -0.78055 0.08407 -1.66399 -0.17330 -0.80095
1.50000 6.50000 7.50000 -1.51410 -0.51007 -0.93459 -1.67286 -0.78399 0.11634 -1.45974 0.09377 -0.63183
1.50000 3.50000 2.50000 0.78919 1.81191 1.20036 2.21660 -0.54067 0.37636 0.29391 1.81430 0.39637
2.50000 1.50000 6.50000 2.17009 0.56805 0.97411 2.07767 1.28980 0.00846 2.25091 -0.11521 0.40650
2.50000 6.50000 6.50000 0.53884 0.44754 0.21470 0.67899 0.17059 0.21645 0.52980 0.46467 -0.17012
0.50000 8.50000 2.50000 -1.05812 -1.51410 -1.43953 -2.33084 0.22048 -0.05411 -0.57539 -1.14308 -0.91848
2.50000 1.50000 7.50000 0.62801 0.72248 1.37220 1.59780 -0.16007 -0.46897 0.16968 0.02997 1.54345
0.50000 1.50000 2.50000 1.51410 1.15035 0.85962 2.00240 0.47541 0.34554 1.40583 0.95058 0.03436
0.50000 6.50000 5.50000 -1.95996 -1.31058 -1.15035 -2.51048 -0.69788 -0.30455 -1.82830 -0.92493 -0.24153
9.50000 4.50000 0.50000 0.72248 1.05812 1.81191 2.11448 -0.35289 -0.57282 0.07824 0.21342 2.00243
2.50000 6.50000 1.50000 -2.57583 -1.81191 -1.69540 -3.46450 -0.82960 -0.31821 -2.32229 -1.21960 -0.56049
1.50000 2.50000 5.50000 -0.48173 0.34513 -0.34513 -0.26392 -0.49651 0.39356 -0.51166 0.84782 -0.65369
6.50000 6.50000 5.50000 -1.59819 -1.37220 -1.01522 -2.27254 -0.39714 -0.38122 -1.42271 -1.16535 -0.10503
3.50000 2.50000 8.50000 1.05812 0.53884 -0.65884 0.47080 0.75523 1.02633 1.49028 1.17783 -1.90255
8.50000 0.50000 0.50000 1.81191 0.82389 1.51410 2.36992 0.73879 -0.30190 1.57090 -0.06991 1.26288
6.50000 4.50000 9.50000 -0.82389 1.59819 0.29237 0.68165 -1.56341 0.64109 -1.33681 2.35689 -0.36896
7.50000 1.50000 1.50000 0.34513 -0.03761 -0.16366 0.05981 0.34296 0.16205 0.49438 0.01864 -0.37910
